=========================== Final Schedule ===========================
Vessel : 0
 19 | 73.0 | 3.0 | 76.0
 21 | 76.0 | 5.0 | 81.0
Vessel : 21
 1 | 16.0 | 3.0 | 19.0
 2 | 19.0 | 5.0 | 24.0
 4 | 24.0 | 4.0 | 28.0
 7 | 28.0 | 4.0 | 32.0
 10 | 32.0 | 3.0 | 35.0
 12 | 35.0 | 4.0 | 39.0
 14 | 39.0 | 4.0 | 43.0
 16 | 43.0 | 4.0 | 47.0
 19 | 47.0 | 5.0 | 52.0
 21 | 52.0 | 4.0 | 56.0
Vessel : 22
 1 | 119.0 | 4.0 | 123.0
 3 | 123.0 | 3.0 | 126.0
 5 | 126.0 | 14.0 | 140.0
 6 | 140.0 | 3.0 | 143.0
 9 | 143.0 | 8.0 | 151.0
 13 | 151.0 | 5.0 | 156.0
 14 | 156.0 | 3.0 | 159.0
 16 | 159.0 | 5.0 | 164.0
 20 | 164.0 | 4.0 | 168.0
 22 | 168.0 | 4.0 | 172.0
Vessel : 23
 0 | 71.0 | 11.0 | 82.0
 3 | 82.0 | 14.0 | 96.0
 5 | 96.0 | 8.0 | 104.0
 7 | 104.0 | 6.0 | 110.0
 10 | 110.0 | 13.0 | 123.0
 12 | 123.0 | 5.0 | 128.0
 14 | 128.0 | 4.0 | 132.0
 16 | 132.0 | 4.0 | 136.0
 19 | 136.0 | 3.0 | 139.0
 21 | 139.0 | 5.0 | 144.0
Vessel : 24
 0 | 136.0 | 6.0 | 142.0
 3 | 142.0 | 10.0 | 152.0
 5 | 152.0 | 8.0 | 160.0
 6 | 160.0 | 4.0 | 164.0
 9 | 164.0 | 4.0 | 168.0
 13 | 168.0 | 3.0 | 171.0
 14 | 171.0 | 3.0 | 174.0
 15 | 174.0 | 5.0 | 179.0
 17 | 179.0 | 4.0 | 183.0
 21 | 183.0 | 3.0 | 186.0
Vessel : 25
 1 | 161.0 | 3.0 | 164.0
 3 | 164.0 | 5.0 | 169.0
 5 | 169.0 | 5.0 | 174.0
 7 | 174.0 | 4.0 | 178.0
 10 | 178.0 | 4.0 | 182.0
 12 | 182.0 | 3.0 | 185.0
 14 | 185.0 | 4.0 | 189.0
 15 | 189.0 | 3.0 | 192.0
 18 | 192.0 | 4.0 | 196.0
 22 | 196.0 | 5.0 | 201.0
Vessel : 26
 1 | 106.0 | 4.0 | 110.0
 3 | 110.0 | 4.0 | 114.0
 5 | 114.0 | 4.0 | 118.0
 6 | 118.0 | 4.0 | 122.0
 8 | 122.0 | 6.0 | 128.0
 12 | 128.0 | 3.0 | 131.0
 14 | 131.0 | 5.0 | 136.0
 15 | 136.0 | 4.0 | 140.0
 18 | 140.0 | 3.0 | 143.0
 22 | 143.0 | 3.0 | 146.0
Vessel : 27
 0 | 153.0 | 7.0 | 160.0
 3 | 160.0 | 8.0 | 168.0
